,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,LINK-USD,0.34117220865045716,14.0
1,SNX-USD,FIL-USD,0.6175452045913867,5.0
2,SNX-USD,UMA-USD,1.5441888679611724,10.0
3,SNX-USD,CRV-USD,4.330381077951222,19.0
4,SNX-USD,MATIC-USD,3.750458562533948,11.0
5,XTZ-USD,ICP-USD,0.1970895825474575,6.0
6,XTZ-USD,ZEC-USD,0.027408097264762843,22.0
7,XTZ-USD,MKR-USD,0.0006440835170460782,18.0
8,XTZ-USD,DOT-USD,0.15727648502828848,6.0
9,XTZ-USD,AAVE-USD,0.012161634414008537,20.0
10,ICP-USD,ZEC-USD,0.1390615551162622,15.0
11,ICP-USD,ENJ-USD,14.219949164759978,20.0
12,ICP-USD,YFI-USD,0.0006382679437279493,12.0
13,ICP-USD,NEAR-USD,3.029639868153431,7.0
14,ICP-USD,ALGO-USD,36.03433150852347,13.0
15,ICP-USD,UMA-USD,2.502194391566904,8.0
16,ICP-USD,DOT-USD,0.7978601860919827,10.0
17,ICP-USD,DOGE-USD,54.66863237638653,21.0
18,ICP-USD,AAVE-USD,0.06170525562900539,10.0
19,ETC-USD,YFI-USD,0.0028063374570879637,6.0
20,ETC-USD,NEAR-USD,13.31919005808685,14.0
21,ZEC-USD,LINK-USD,3.9747298950331946,9.0
22,ZEC-USD,ENJ-USD,102.25372346588256,4.0
23,ZEC-USD,EOS-USD,41.794006802260675,19.0
24,ZEC-USD,NEAR-USD,21.77835269145312,16.0
25,ZEC-USD,ALGO-USD,259.08004166202807,7.0
26,ZEC-USD,DOGE-USD,393.10430301246663,8.0
27,ZEC-USD,AAVE-USD,0.4436258385857805,9.0
28,ZEC-USD,1INCH-USD,98.45059685917617,23.0
29,LINK-USD,UMA-USD,4.52485009729968,16.0
30,MKR-USD,ATOM-USD,145.09503654746078,16.0
31,MKR-USD,FIL-USD,306.0676189720388,11.0
32,MKR-USD,UMA-USD,765.4550040133413,10.0
33,ENJ-USD,ZRX-USD,1.357693123458601,16.0
34,ENJ-USD,EOS-USD,0.40873206141001434,13.0
35,ENJ-USD,ALGO-USD,2.5335042047953498,10.0
36,ENJ-USD,UMA-USD,0.17591605426697993,10.0
37,ENJ-USD,SOL-USD,0.011548151002212457,17.0
38,ENJ-USD,DOGE-USD,3.8442678098160163,6.0
39,ENJ-USD,AAVE-USD,0.004338268683224715,10.0
40,ENJ-USD,1INCH-USD,0.9628108772158592,17.0
41,FIL-USD,UMA-USD,2.500271144973828,5.0
42,FIL-USD,CRV-USD,7.011465719163859,12.0
43,FIL-USD,MATIC-USD,6.072586930642142,4.0
44,FIL-USD,AVAX-USD,0.32983014684244305,5.0
45,YFI-USD,XLM-USD,45417.73114008715,12.0
46,YFI-USD,NEAR-USD,4745.66554309585,15.0
47,YFI-USD,ADA-USD,21263.842334133515,8.0
48,COMP-USD,EOS-USD,75.115428609838,20.0
49,COMP-USD,1INCH-USD,176.9820416369027,13.0
50,EOS-USD,DOGE-USD,9.4028778699323,20.0
51,EOS-USD,1INCH-USD,2.3557014295049252,6.0
52,NEAR-USD,ALGO-USD,11.893017422244222,13.0
53,NEAR-USD,AAVE-USD,0.02036541332921094,11.0
54,ADA-USD,UMA-USD,0.1842782845174834,24.0
55,UMA-USD,DOT-USD,0.31878173594116344,19.0
56,UMA-USD,SOL-USD,0.06564354826734108,9.0
57,UMA-USD,DOGE-USD,21.847082963199963,12.0
58,UMA-USD,MATIC-USD,2.4281078379267176,14.0
59,UMA-USD,AVAX-USD,0.13188957558608672,8.0
60,BTC-USD,ETH-USD,15.837523283771846,15.0
61,DOT-USD,SOL-USD,0.2058684664764554,17.0
62,CRV-USD,AVAX-USD,0.04701495635892589,24.0
63,MATIC-USD,AVAX-USD,0.05430817270662356,10.0
